/Library/Frameworks/Python.framework/Versions/3.5/bin/python3.5 /Users/newfrontier2/Desktop/School/CSCI447/Project3/project_3/__init__.py
Generation=0, Training Error=3820.865, Testing Error=240.435
Generation=1, Training Error=2287.806, Testing Error=66.299
Generation=2, Training Error=1323.460, Testing Error=43.192
Generation=3, Training Error=717.472, Testing Error=111.990
Generation=4, Training Error=336.927, Testing Error=155.204
Generation=5, Training Error=98.055, Testing Error=182.348
Generation=6, Training Error=-51.852, Testing Error=199.403
Generation=7, Training Error=-145.919, Testing Error=210.126
Generation=8, Training Error=-204.945, Testing Error=216.877
Generation=9, Training Error=-241.990, Testing Error=221.136
Generation=10, Training Error=-265.245, Testing Error=223.832
Generation=11, Training Error=-279.852, Testing Error=225.548
Generation=12, Training Error=-289.033, Testing Error=226.648
Generation=13, Training Error=-294.812, Testing Error=227.363
Generation=14, Training Error=-298.458, Testing Error=227.836
Generation=15, Training Error=-300.765, Testing Error=228.158
Generation=16, Training Error=-302.232, Testing Error=228.384
Generation=17, Training Error=-303.173, Testing Error=228.550
Generation=18, Training Error=-303.783, Testing Error=228.679
Generation=19, Training Error=-304.186, Testing Error=228.784
Generation=20, Training Error=-304.459, Testing Error=228.875
Generation=21, Training Error=-304.649, Testing Error=228.956
Generation=22, Training Error=-304.789, Testing Error=229.032
Generation=23, Training Error=-304.895, Testing Error=229.104
Generation=24, Training Error=-304.981, Testing Error=229.173
Generation=25, Training Error=-305.054, Testing Error=229.241
Generation=26, Training Error=-305.119, Testing Error=229.308
Generation=27, Training Error=-305.178, Testing Error=229.374
Generation=28, Training Error=-305.233, Testing Error=229.440
Generation=29, Training Error=-305.286, Testing Error=229.506
Generation=30, Training Error=-305.337, Testing Error=229.571
Generation=31, Training Error=-305.387, Testing Error=229.636
Generation=32, Training Error=-305.436, Testing Error=229.701
Generation=33, Training Error=-305.484, Testing Error=229.766
Generation=34, Training Error=-305.531, Testing Error=229.831
Generation=35, Training Error=-305.578, Testing Error=229.896
Generation=36, Training Error=-305.623, Testing Error=229.960
Generation=37, Training Error=-305.669, Testing Error=230.025
Generation=38, Training Error=-305.713, Testing Error=230.090
Generation=39, Training Error=-305.758, Testing Error=230.154
Generation=40, Training Error=-305.801, Testing Error=230.218
Generation=41, Training Error=-305.844, Testing Error=230.283
Generation=42, Training Error=-305.887, Testing Error=230.347
Generation=43, Training Error=-305.929, Testing Error=230.411
Generation=44, Training Error=-305.970, Testing Error=230.475
Generation=45, Training Error=-306.011, Testing Error=230.539
Generation=46, Training Error=-306.051, Testing Error=230.603
Generation=47, Training Error=-306.090, Testing Error=230.667
Generation=48, Training Error=-306.130, Testing Error=230.731
Generation=49, Training Error=-306.168, Testing Error=230.795
Generation=50, Training Error=-306.206, Testing Error=230.858
Generation=51, Training Error=-306.243, Testing Error=230.922
Generation=52, Training Error=-306.280, Testing Error=230.985
Generation=53, Training Error=-306.317, Testing Error=231.049
Generation=54, Training Error=-306.352, Testing Error=231.112
Generation=55, Training Error=-306.387, Testing Error=231.176
Generation=56, Training Error=-306.422, Testing Error=231.239
Generation=57, Training Error=-306.456, Testing Error=231.302
Generation=58, Training Error=-306.489, Testing Error=231.365
Generation=59, Training Error=-306.522, Testing Error=231.428
Generation=60, Training Error=-306.555, Testing Error=231.491
Generation=61, Training Error=-306.586, Testing Error=231.554
Generation=62, Training Error=-306.617, Testing Error=231.617
Generation=63, Training Error=-306.648, Testing Error=231.680
Generation=64, Training Error=-306.678, Testing Error=231.743
Generation=65, Training Error=-306.707, Testing Error=231.805
Generation=66, Training Error=-306.736, Testing Error=231.868
Generation=67, Training Error=-306.765, Testing Error=231.931
Generation=68, Training Error=-306.792, Testing Error=231.993
Generation=69, Training Error=-306.819, Testing Error=232.055
Generation=70, Training Error=-306.846, Testing Error=232.118
Generation=71, Training Error=-306.872, Testing Error=232.180
Generation=72, Training Error=-306.897, Testing Error=232.242
Generation=73, Training Error=-306.922, Testing Error=232.305
Generation=74, Training Error=-306.946, Testing Error=232.367
Generation=75, Training Error=-306.970, Testing Error=232.429
Generation=76, Training Error=-306.993, Testing Error=232.491
Generation=77, Training Error=-307.015, Testing Error=232.553
Generation=78, Training Error=-307.037, Testing Error=232.615
Generation=79, Training Error=-307.059, Testing Error=232.676
Generation=80, Training Error=-307.079, Testing Error=232.738
Generation=81, Training Error=-307.099, Testing Error=232.800
Generation=82, Training Error=-307.119, Testing Error=232.861
Generation=83, Training Error=-307.138, Testing Error=232.923
Generation=84, Training Error=-307.156, Testing Error=232.985
Generation=85, Training Error=-307.174, Testing Error=233.046
Generation=86, Training Error=-307.191, Testing Error=233.107
Generation=87, Training Error=-307.208, Testing Error=233.169
Generation=88, Training Error=-307.224, Testing Error=233.230
Generation=89, Training Error=-307.239, Testing Error=233.291
Generation=90, Training Error=-307.254, Testing Error=233.352
Generation=91, Training Error=-307.268, Testing Error=233.413
Generation=92, Training Error=-307.282, Testing Error=233.475
Generation=93, Training Error=-307.295, Testing Error=233.536
Generation=94, Training Error=-307.307, Testing Error=233.596
Generation=95, Training Error=-307.319, Testing Error=233.657
Generation=96, Training Error=-307.330, Testing Error=233.718
Generation=97, Training Error=-307.341, Testing Error=233.779
Generation=98, Training Error=-307.351, Testing Error=233.840
Generation=99, Training Error=-307.361, Testing Error=233.900
Generation=100, Training Error=-307.369, Testing Error=233.961
Generation=101, Training Error=-307.378, Testing Error=234.022
Generation=102, Training Error=-307.385, Testing Error=234.082
Generation=103, Training Error=-307.392, Testing Error=234.142
Generation=104, Training Error=-307.399, Testing Error=234.203
Generation=105, Training Error=-307.404, Testing Error=234.263
Generation=106, Training Error=-307.410, Testing Error=234.324
Generation=107, Training Error=-307.414, Testing Error=234.384
Generation=108, Training Error=-307.418, Testing Error=234.444
Generation=109, Training Error=-307.422, Testing Error=234.504
Generation=110, Training Error=-307.424, Testing Error=234.564
Generation=111, Training Error=-307.427, Testing Error=234.624
Generation=112, Training Error=-307.428, Testing Error=234.684
Generation=113, Training Error=-307.429, Testing Error=234.744
Generation=114, Training Error=-307.429, Testing Error=234.804
Generation=115, Training Error=-307.429, Testing Error=234.864
Generation=116, Training Error=-307.428, Testing Error=234.923
Generation=117, Training Error=-307.427, Testing Error=234.983
Generation=118, Training Error=-307.424, Testing Error=235.043
Generation=119, Training Error=-307.422, Testing Error=235.102
Generation=120, Training Error=-307.418, Testing Error=235.162
Generation=121, Training Error=-307.414, Testing Error=235.222
Generation=122, Training Error=-307.410, Testing Error=235.281
Generation=123, Training Error=-307.404, Testing Error=235.340
Generation=124, Training Error=-307.399, Testing Error=235.400
Generation=125, Training Error=-307.392, Testing Error=235.459
Generation=126, Training Error=-307.385, Testing Error=235.518
Generation=127, Training Error=-307.377, Testing Error=235.578
Generation=128, Training Error=-307.369, Testing Error=235.637
Generation=129, Training Error=-307.360, Testing Error=235.696
Generation=130, Training Error=-307.350, Testing Error=235.755
Generation=131, Training Error=-307.340, Testing Error=235.814
Generation=132, Training Error=-307.329, Testing Error=235.873
Generation=133, Training Error=-307.318, Testing Error=235.932
Generation=134, Training Error=-307.306, Testing Error=235.991
Generation=135, Training Error=-307.293, Testing Error=236.050
Generation=136, Training Error=-307.279, Testing Error=236.108
Generation=137, Training Error=-307.265, Testing Error=236.167
Generation=138, Training Error=-307.251, Testing Error=236.226
Generation=139, Training Error=-307.235, Testing Error=236.284
Generation=140, Training Error=-307.220, Testing Error=236.343
Generation=141, Training Error=-307.203, Testing Error=236.401
Generation=142, Training Error=-307.186, Testing Error=236.460
Generation=143, Training Error=-307.168, Testing Error=236.518
Generation=144, Training Error=-307.149, Testing Error=236.577
Generation=145, Training Error=-307.130, Testing Error=236.635
Generation=146, Training Error=-307.111, Testing Error=236.693
Generation=147, Training Error=-307.090, Testing Error=236.752
Generation=148, Training Error=-307.069, Testing Error=236.810
Generation=149, Training Error=-307.047, Testing Error=236.868
Generation=150, Training Error=-307.025, Testing Error=236.926
Generation=151, Training Error=-307.002, Testing Error=236.984
Generation=152, Training Error=-306.978, Testing Error=237.042
