/Library/Frameworks/Python.framework/Versions/3.5/bin/python3.5 /Users/newfrontier2/Desktop/School/CSCI447/Project3/project_3/__init__.py
Generation=0, Training Error=-9221.151, Testing Error=985.885
Generation=1, Training Error=-7217.632, Testing Error=729.508
Generation=2, Training Error=-5608.552, Testing Error=526.801
Generation=3, Training Error=-4348.761, Testing Error=369.015
Generation=4, Training Error=-3370.130, Testing Error=246.595
Generation=5, Training Error=-2611.227, Testing Error=151.696
Generation=6, Training Error=-2023.038, Testing Error=78.157
Generation=7, Training Error=-1567.268, Testing Error=21.179
Generation=8, Training Error=-1214.145, Testing Error=22.965
Generation=9, Training Error=-940.571, Testing Error=57.164
Generation=10, Training Error=-728.634, Testing Error=83.657
Generation=11, Training Error=-564.452, Testing Error=104.179
Generation=12, Training Error=-437.268, Testing Error=120.078
Generation=13, Training Error=-338.745, Testing Error=132.393
Generation=14, Training Error=-262.425, Testing Error=141.932
Generation=15, Training Error=-203.305, Testing Error=149.322
Generation=16, Training Error=-157.510, Testing Error=155.046
Generation=17, Training Error=-122.036, Testing Error=159.480
Generation=18, Training Error=-94.557, Testing Error=162.915
Generation=19, Training Error=-73.272, Testing Error=165.575
Generation=20, Training Error=-56.785, Testing Error=167.636
Generation=21, Training Error=-44.014, Testing Error=169.232
Generation=22, Training Error=-34.121, Testing Error=170.468
Generation=23, Training Error=-26.459, Testing Error=171.426
Generation=24, Training Error=-20.523, Testing Error=172.167
Generation=25, Training Error=-15.926, Testing Error=172.742
Generation=26, Training Error=-12.366, Testing Error=173.186
Generation=27, Training Error=-9.608, Testing Error=173.531
Generation=28, Training Error=-7.472, Testing Error=173.798
Generation=29, Training Error=-5.817, Testing Error=174.004
Generation=30, Training Error=-4.536, Testing Error=174.164
Generation=31, Training Error=-3.544, Testing Error=174.288
Generation=32, Training Error=-2.775, Testing Error=174.383
Generation=33, Training Error=-2.181, Testing Error=174.457
Generation=34, Training Error=-1.720, Testing Error=174.515
Generation=35, Training Error=-1.363, Testing Error=174.559
Generation=36, Training Error=-1.088, Testing Error=174.593
Generation=37, Training Error=-0.874, Testing Error=174.620
Generation=38, Training Error=-0.709, Testing Error=174.640
Generation=39, Training Error=-0.581, Testing Error=174.656
Generation=40, Training Error=-0.483, Testing Error=174.668
Generation=41, Training Error=-0.406, Testing Error=174.677
Generation=42, Training Error=-0.348, Testing Error=174.684
Generation=43, Training Error=-0.302, Testing Error=174.689
Generation=44, Training Error=-0.268, Testing Error=174.693
Generation=45, Training Error=-0.241, Testing Error=174.696
Generation=46, Training Error=-0.221, Testing Error=174.698
Generation=47, Training Error=-0.205, Testing Error=174.700
Generation=48, Training Error=-0.193, Testing Error=174.701
Generation=49, Training Error=-0.184, Testing Error=174.702
Generation=50, Training Error=-0.178, Testing Error=174.703
Generation=51, Training Error=-0.173, Testing Error=174.703
Generation=52, Training Error=-0.169, Testing Error=174.703
Generation=53, Training Error=-0.167, Testing Error=174.703
Generation=54, Training Error=-0.165, Testing Error=174.703
Generation=55, Training Error=-0.164, Testing Error=174.703
Generation=56, Training Error=-0.164, Testing Error=174.702
Generation=57, Training Error=-0.164, Testing Error=174.702
Generation=58, Training Error=-0.164, Testing Error=174.701
Generation=59, Training Error=-0.164, Testing Error=174.701
Generation=60, Training Error=-0.165, Testing Error=174.701
Generation=61, Training Error=-0.166, Testing Error=174.700
Generation=62, Training Error=-0.166, Testing Error=174.700
Generation=63, Training Error=-0.167, Testing Error=174.699
Generation=64, Training Error=-0.168, Testing Error=174.699
Generation=65, Training Error=-0.170, Testing Error=174.698
Generation=66, Training Error=-0.171, Testing Error=174.698
Generation=67, Training Error=-0.172, Testing Error=174.697
Generation=68, Training Error=-0.173, Testing Error=174.697
Generation=69, Training Error=-0.174, Testing Error=174.696
Generation=70, Training Error=-0.176, Testing Error=174.695
Generation=71, Training Error=-0.177, Testing Error=174.695
Generation=72, Training Error=-0.178, Testing Error=174.694
Generation=73, Training Error=-0.180, Testing Error=174.694
Generation=74, Training Error=-0.181, Testing Error=174.693
Generation=75, Training Error=-0.183, Testing Error=174.693
Generation=76, Training Error=-0.184, Testing Error=174.692
Generation=77, Training Error=-0.185, Testing Error=174.691
Generation=78, Training Error=-0.187, Testing Error=174.691
Generation=79, Training Error=-0.188, Testing Error=174.690
Generation=80, Training Error=-0.190, Testing Error=174.690
Generation=81, Training Error=-0.191, Testing Error=174.689
Generation=82, Training Error=-0.193, Testing Error=174.688
Generation=83, Training Error=-0.194, Testing Error=174.688
Generation=84, Training Error=-0.196, Testing Error=174.687
Generation=85, Training Error=-0.197, Testing Error=174.686
Generation=86, Training Error=-0.199, Testing Error=174.686
Generation=87, Training Error=-0.200, Testing Error=174.685
Generation=88, Training Error=-0.202, Testing Error=174.684
Generation=89, Training Error=-0.204, Testing Error=174.684
Generation=90, Training Error=-0.205, Testing Error=174.683
Generation=91, Training Error=-0.207, Testing Error=174.682
Generation=92, Training Error=-0.209, Testing Error=174.682
Generation=93, Training Error=-0.210, Testing Error=174.681
Generation=94, Training Error=-0.212, Testing Error=174.680
Generation=95, Training Error=-0.214, Testing Error=174.680
Generation=96, Training Error=-0.215, Testing Error=174.679
Generation=97, Training Error=-0.217, Testing Error=174.678
Generation=98, Training Error=-0.219, Testing Error=174.677
Generation=99, Training Error=-0.220, Testing Error=174.677
Generation=100, Training Error=-0.222, Testing Error=174.676
Generation=101, Training Error=-0.224, Testing Error=174.675
Generation=102, Training Error=-0.226, Testing Error=174.674
Generation=103, Training Error=-0.228, Testing Error=174.674
Generation=104, Training Error=-0.230, Testing Error=174.673
Generation=105, Training Error=-0.231, Testing Error=174.672
Generation=106, Training Error=-0.233, Testing Error=174.671
Generation=107, Training Error=-0.235, Testing Error=174.671
Generation=108, Training Error=-0.237, Testing Error=174.670
Generation=109, Training Error=-0.239, Testing Error=174.669
Generation=110, Training Error=-0.241, Testing Error=174.668
Generation=111, Training Error=-0.243, Testing Error=174.667
Generation=112, Training Error=-0.245, Testing Error=174.666
Generation=113, Training Error=-0.247, Testing Error=174.666
Generation=114, Training Error=-0.249, Testing Error=174.665
Generation=115, Training Error=-0.251, Testing Error=174.664
Generation=116, Training Error=-0.253, Testing Error=174.663
Generation=117, Training Error=-0.255, Testing Error=174.662
Generation=118, Training Error=-0.258, Testing Error=174.661
Generation=119, Training Error=-0.260, Testing Error=174.660
Generation=120, Training Error=-0.262, Testing Error=174.660
Generation=121, Training Error=-0.264, Testing Error=174.659
Generation=122, Training Error=-0.266, Testing Error=174.658
Generation=123, Training Error=-0.269, Testing Error=174.657
Generation=124, Training Error=-0.271, Testing Error=174.656
Generation=125, Training Error=-0.273, Testing Error=174.655
Generation=126, Training Error=-0.275, Testing Error=174.654
Generation=127, Training Error=-0.278, Testing Error=174.653
Generation=128, Training Error=-0.280, Testing Error=174.652
Generation=129, Training Error=-0.282, Testing Error=174.651
Generation=130, Training Error=-0.285, Testing Error=174.650
Generation=131, Training Error=-0.287, Testing Error=174.649
Generation=132, Training Error=-0.290, Testing Error=174.648
Generation=133, Training Error=-0.292, Testing Error=174.647
Generation=134, Training Error=-0.295, Testing Error=174.646
Generation=135, Training Error=-0.297, Testing Error=174.645
Generation=136, Training Error=-0.300, Testing Error=174.644
Generation=137, Training Error=-0.302, Testing Error=174.643
Generation=138, Training Error=-0.305, Testing Error=174.642
Generation=139, Training Error=-0.308, Testing Error=174.641
Generation=140, Training Error=-0.310, Testing Error=174.640
Generation=141, Training Error=-0.313, Testing Error=174.638
Generation=142, Training Error=-0.316, Testing Error=174.637
Generation=143, Training Error=-0.319, Testing Error=174.636
Generation=144, Training Error=-0.321, Testing Error=174.635
Generation=145, Training Error=-0.324, Testing Error=174.634
Generation=146, Training Error=-0.327, Testing Error=174.633
Generation=147, Training Error=-0.330, Testing Error=174.631
Generation=148, Training Error=-0.333, Testing Error=174.630
Generation=149, Training Error=-0.336, Testing Error=174.629
Generation=150, Training Error=-0.339, Testing Error=174.628
Generation=151, Training Error=-0.342, Testing Error=174.627
Generation=152, Training Error=-0.345, Testing Error=174.625
Generation=153, Training Error=-0.348, Testing Error=174.624
Generation=154, Training Error=-0.351, Testing Error=174.623
Generation=155, Training Error=-0.354, Testing Error=174.622
Generation=156, Training Error=-0.357, Testing Error=174.620
Generation=157, Training Error=-0.360, Testing Error=174.619
Generation=158, Training Error=-0.364, Testing Error=174.618
Generation=159, Training Error=-0.367, Testing Error=174.616
Generation=160, Training Error=-0.370, Testing Error=174.615
Generation=161, Training Error=-0.373, Testing Error=174.614
Generation=162, Training Error=-0.377, Testing Error=174.612
Generation=163, Training Error=-0.380, Testing Error=174.611
Generation=164, Training Error=-0.384, Testing Error=174.609
Generation=165, Training Error=-0.387, Testing Error=174.608
Generation=166, Training Error=-0.391, Testing Error=174.606
Generation=167, Training Error=-0.394, Testing Error=174.605
Generation=168, Training Error=-0.398, Testing Error=174.603
Generation=169, Training Error=-0.402, Testing Error=174.602
Generation=170, Training Error=-0.405, Testing Error=174.600
Generation=171, Training Error=-0.409, Testing Error=174.599
Generation=172, Training Error=-0.413, Testing Error=174.597
Generation=173, Training Error=-0.417, Testing Error=174.596
Generation=174, Training Error=-0.420, Testing Error=174.594
Generation=175, Training Error=-0.424, Testing Error=174.593
Generation=176, Training Error=-0.428, Testing Error=174.591
Generation=177, Training Error=-0.432, Testing Error=174.589
Generation=178, Training Error=-0.436, Testing Error=174.588
Generation=179, Training Error=-0.440, Testing Error=174.586
Generation=180, Training Error=-0.445, Testing Error=174.584
Generation=181, Training Error=-0.449, Testing Error=174.583
Generation=182, Training Error=-0.453, Testing Error=174.581
Generation=183, Training Error=-0.457, Testing Error=174.579
Generation=184, Training Error=-0.461, Testing Error=174.577
Generation=185, Training Error=-0.466, Testing Error=174.576
Generation=186, Training Error=-0.470, Testing Error=174.574
Generation=187, Training Error=-0.475, Testing Error=174.572
Generation=188, Training Error=-0.479, Testing Error=174.570
Generation=189, Training Error=-0.484, Testing Error=174.568
Generation=190, Training Error=-0.488, Testing Error=174.566
Generation=191, Training Error=-0.493, Testing Error=174.565
Generation=192, Training Error=-0.498, Testing Error=174.563
Generation=193, Training Error=-0.503, Testing Error=174.561
Generation=194, Training Error=-0.507, Testing Error=174.559
Generation=195, Training Error=-0.512, Testing Error=174.557
Generation=196, Training Error=-0.517, Testing Error=174.555
Generation=197, Training Error=-0.522, Testing Error=174.553
Generation=198, Training Error=-0.527, Testing Error=174.551
Generation=199, Training Error=-0.532, Testing Error=174.548
Generation=200, Training Error=-0.537, Testing Error=174.546
Generation=201, Training Error=-0.543, Testing Error=174.544
Generation=202, Training Error=-0.548, Testing Error=174.542
Generation=203, Training Error=-0.553, Testing Error=174.540
Generation=204, Training Error=-0.559, Testing Error=174.538
Generation=205, Training Error=-0.564, Testing Error=174.535
Generation=206, Training Error=-0.570, Testing Error=174.533
Generation=207, Training Error=-0.575, Testing Error=174.531
Generation=208, Training Error=-0.581, Testing Error=174.528
Generation=209, Training Error=-0.587, Testing Error=174.526
Generation=210, Training Error=-0.593, Testing Error=174.524
Generation=211, Training Error=-0.598, Testing Error=174.521
Generation=212, Training Error=-0.604, Testing Error=174.519
Generation=213, Training Error=-0.610, Testing Error=174.516
Generation=214, Training Error=-0.616, Testing Error=174.514
Generation=215, Training Error=-0.623, Testing Error=174.511
Generation=216, Training Error=-0.629, Testing Error=174.509
Generation=217, Training Error=-0.635, Testing Error=174.506
Generation=218, Training Error=-0.641, Testing Error=174.504
Generation=219, Training Error=-0.648, Testing Error=174.501
Generation=220, Training Error=-0.654, Testing Error=174.498
Generation=221, Training Error=-0.661, Testing Error=174.496
Generation=222, Training Error=-0.668, Testing Error=174.493
Generation=223, Training Error=-0.674, Testing Error=174.490
Generation=224, Training Error=-0.681, Testing Error=174.487
Generation=225, Training Error=-0.688, Testing Error=174.484
Generation=226, Training Error=-0.695, Testing Error=174.482
Generation=227, Training Error=-0.702, Testing Error=174.479
Generation=228, Training Error=-0.709, Testing Error=174.476
