/Library/Frameworks/Python.framework/Versions/3.5/bin/python3.5 /Users/newfrontier2/Desktop/School/CSCI447/Project3/project_3/__init__.py
Generation=0, Training Error=-778.256, Testing Error=103.506
Generation=1, Training Error=-768.863, Testing Error=102.247
Generation=2, Training Error=-759.589, Testing Error=101.004
Generation=3, Training Error=-750.430, Testing Error=99.777
Generation=4, Training Error=-741.386, Testing Error=98.565
Generation=5, Training Error=-732.455, Testing Error=97.368
Generation=6, Training Error=-723.635, Testing Error=96.186
Generation=7, Training Error=-714.925, Testing Error=95.019
Generation=8, Training Error=-706.323, Testing Error=93.866
Generation=9, Training Error=-697.828, Testing Error=92.728
Generation=10, Training Error=-689.438, Testing Error=91.604
Generation=11, Training Error=-681.152, Testing Error=90.494
Generation=12, Training Error=-672.969, Testing Error=89.397
Generation=13, Training Error=-664.886, Testing Error=88.315
Generation=14, Training Error=-656.903, Testing Error=87.245
Generation=15, Training Error=-649.018, Testing Error=86.189
Generation=16, Training Error=-641.231, Testing Error=85.146
Generation=17, Training Error=-633.539, Testing Error=84.115
Generation=18, Training Error=-625.942, Testing Error=83.098
Generation=19, Training Error=-618.437, Testing Error=82.092
Generation=20, Training Error=-611.025, Testing Error=81.100
Generation=21, Training Error=-603.703, Testing Error=80.119
Generation=22, Training Error=-596.471, Testing Error=79.150
Generation=23, Training Error=-589.327, Testing Error=78.194
Generation=24, Training Error=-582.271, Testing Error=77.248
Generation=25, Training Error=-575.300, Testing Error=76.315
Generation=26, Training Error=-568.415, Testing Error=75.393
Generation=27, Training Error=-561.613, Testing Error=74.482
Generation=28, Training Error=-554.894, Testing Error=73.582
Generation=29, Training Error=-548.256, Testing Error=72.693
Generation=30, Training Error=-541.700, Testing Error=71.815
Generation=31, Training Error=-535.222, Testing Error=70.948
Generation=32, Training Error=-528.824, Testing Error=70.091
Generation=33, Training Error=-522.502, Testing Error=69.244
Generation=34, Training Error=-516.258, Testing Error=68.408
Generation=35, Training Error=-510.089, Testing Error=67.582
Generation=36, Training Error=-503.994, Testing Error=66.766
Generation=37, Training Error=-497.973, Testing Error=65.960
Generation=38, Training Error=-492.025, Testing Error=65.164
Generation=39, Training Error=-486.149, Testing Error=64.377
Generation=40, Training Error=-480.343, Testing Error=63.600
Generation=41, Training Error=-474.608, Testing Error=62.832
Generation=42, Training Error=-468.941, Testing Error=62.073
Generation=43, Training Error=-463.343, Testing Error=61.323
Generation=44, Training Error=-457.812, Testing Error=60.583
Generation=45, Training Error=-452.348, Testing Error=59.851
Generation=46, Training Error=-446.949, Testing Error=59.129
Generation=47, Training Error=-441.616, Testing Error=58.415
Generation=48, Training Error=-436.346, Testing Error=57.709
Generation=49, Training Error=-431.140, Testing Error=57.012
Generation=50, Training Error=-425.996, Testing Error=56.324
Generation=51, Training Error=-420.914, Testing Error=55.643
Generation=52, Training Error=-415.892, Testing Error=54.971
Generation=53, Training Error=-410.931, Testing Error=54.307
Generation=54, Training Error=-406.030, Testing Error=53.651
Generation=55, Training Error=-401.187, Testing Error=53.002
Generation=56, Training Error=-396.402, Testing Error=52.362
Generation=57, Training Error=-391.674, Testing Error=51.729
Generation=58, Training Error=-387.003, Testing Error=51.104
Generation=59, Training Error=-382.388, Testing Error=50.486
Generation=60, Training Error=-377.827, Testing Error=49.876
Generation=61, Training Error=-373.322, Testing Error=49.272
Generation=62, Training Error=-368.870, Testing Error=48.677
Generation=63, Training Error=-364.472, Testing Error=48.088
Generation=64, Training Error=-360.125, Testing Error=47.506
Generation=65, Training Error=-355.831, Testing Error=46.931
Generation=66, Training Error=-351.588, Testing Error=46.363
Generation=67, Training Error=-347.396, Testing Error=45.802
Generation=68, Training Error=-343.254, Testing Error=45.248
Generation=69, Training Error=-339.161, Testing Error=44.700
Generation=70, Training Error=-335.117, Testing Error=44.159
Generation=71, Training Error=-331.121, Testing Error=43.624
