/Library/Frameworks/Python.framework/Versions/3.5/bin/python3.5 /Users/newfrontier2/Desktop/School/CSCI447/Project3/project_3/__init__.py
Generation=0, Training Error=-1206.410, Testing Error=53.164
Generation=1, Training Error=-1165.557, Testing Error=47.404
Generation=2, Training Error=-1126.011, Testing Error=41.823
Generation=3, Training Error=-1087.670, Testing Error=36.419
Generation=4, Training Error=-1050.514, Testing Error=31.189
Generation=5, Training Error=-1014.542, Testing Error=26.133
Generation=6, Training Error=-979.749, Testing Error=21.248
Generation=7, Training Error=-946.118, Testing Error=16.528
Generation=8, Training Error=-913.621, Testing Error=11.968
Generation=9, Training Error=-882.229, Testing Error=7.564
Generation=10, Training Error=-851.907, Testing Error=3.311
Generation=11, Training Error=-822.622, Testing Error=0.797
Generation=12, Training Error=-794.341, Testing Error=4.765
Generation=13, Training Error=-767.029, Testing Error=8.596
Generation=14, Training Error=-740.654, Testing Error=12.296
Generation=15, Training Error=-715.185, Testing Error=15.869
Generation=16, Training Error=-690.591, Testing Error=19.319
Generation=17, Training Error=-666.842, Testing Error=22.651
Generation=18, Training Error=-643.909, Testing Error=25.869
Generation=19, Training Error=-621.764, Testing Error=28.976
Generation=20, Training Error=-600.381, Testing Error=31.976
Generation=21, Training Error=-579.732, Testing Error=34.873
Generation=22, Training Error=-559.794, Testing Error=37.670
Generation=23, Training Error=-540.541, Testing Error=40.372
Generation=24, Training Error=-521.950, Testing Error=42.980
Generation=25, Training Error=-503.998, Testing Error=45.499
Generation=26, Training Error=-486.664, Testing Error=47.931
Generation=27, Training Error=-469.926, Testing Error=50.280
Generation=28, Training Error=-453.763, Testing Error=52.548
Generation=29, Training Error=-438.156, Testing Error=54.738
Generation=30, Training Error=-423.086, Testing Error=56.852
Generation=31, Training Error=-408.534, Testing Error=58.894
Generation=32, Training Error=-394.483, Testing Error=60.866
Generation=33, Training Error=-380.915, Testing Error=62.770
Generation=34, Training Error=-367.813, Testing Error=64.608
Generation=35, Training Error=-355.162, Testing Error=66.384
Generation=36, Training Error=-342.946, Testing Error=68.098
Generation=37, Training Error=-331.151, Testing Error=69.753
Generation=38, Training Error=-319.761, Testing Error=71.351
Generation=39, Training Error=-308.763, Testing Error=72.895
Generation=40, Training Error=-298.143, Testing Error=74.385
Generation=41, Training Error=-287.888, Testing Error=75.824
Generation=42, Training Error=-277.986, Testing Error=77.214
Generation=43, Training Error=-268.425, Testing Error=78.555
Generation=44, Training Error=-259.192, Testing Error=79.851
Generation=45, Training Error=-250.277, Testing Error=81.102
Generation=46, Training Error=-241.669, Testing Error=82.310
Generation=47, Training Error=-233.356, Testing Error=83.476
Generation=48, Training Error=-225.330, Testing Error=84.603
Generation=49, Training Error=-217.580, Testing Error=85.690
Generation=50, Training Error=-210.096, Testing Error=86.740
Generation=51, Training Error=-202.869, Testing Error=87.754
Generation=52, Training Error=-195.892, Testing Error=88.734
Generation=53, Training Error=-189.154, Testing Error=89.679
Generation=54, Training Error=-182.648, Testing Error=90.592
Generation=55, Training Error=-176.365, Testing Error=91.474
Generation=56, Training Error=-170.299, Testing Error=92.325
Generation=57, Training Error=-164.442, Testing Error=93.147
Generation=58, Training Error=-158.786, Testing Error=93.941
Generation=59, Training Error=-153.324, Testing Error=94.707
Generation=60, Training Error=-148.050, Testing Error=95.447
Generation=61, Training Error=-142.958, Testing Error=96.162
Generation=62, Training Error=-138.041, Testing Error=96.852
Generation=63, Training Error=-133.293, Testing Error=97.518
Generation=64, Training Error=-128.708, Testing Error=98.161
Generation=65, Training Error=-124.281, Testing Error=98.783
Generation=66, Training Error=-120.006, Testing Error=99.382
Generation=67, Training Error=-115.879, Testing Error=99.962
Generation=68, Training Error=-111.893, Testing Error=100.521
Generation=69, Training Error=-108.044, Testing Error=101.061
Generation=70, Training Error=-104.328, Testing Error=101.582
Generation=71, Training Error=-100.740, Testing Error=102.086
Generation=72, Training Error=-97.275, Testing Error=102.572
Generation=73, Training Error=-93.929, Testing Error=103.042
Generation=74, Training Error=-90.698, Testing Error=103.495
Generation=75, Training Error=-87.578, Testing Error=103.933
Generation=76, Training Error=-84.566, Testing Error=104.356
Generation=77, Training Error=-81.657, Testing Error=104.764
Generation=78, Training Error=-78.849, Testing Error=105.158
Generation=79, Training Error=-76.137, Testing Error=105.538
Generation=80, Training Error=-73.518, Testing Error=105.906
Generation=81, Training Error=-70.989, Testing Error=106.261
Generation=82, Training Error=-68.547, Testing Error=106.603
Generation=83, Training Error=-66.190, Testing Error=106.934
Generation=84, Training Error=-63.913, Testing Error=107.254
Generation=85, Training Error=-61.715, Testing Error=107.562
Generation=86, Training Error=-59.592, Testing Error=107.860
Generation=87, Training Error=-57.542, Testing Error=108.147
Generation=88, Training Error=-55.563, Testing Error=108.425
Generation=89, Training Error=-53.652, Testing Error=108.693
Generation=90, Training Error=-51.807, Testing Error=108.952
Generation=91, Training Error=-50.025, Testing Error=109.202
Generation=92, Training Error=-48.304, Testing Error=109.444
Generation=93, Training Error=-46.643, Testing Error=109.677
Generation=94, Training Error=-45.038, Testing Error=109.902
Generation=95, Training Error=-43.489, Testing Error=110.119
Generation=96, Training Error=-41.993, Testing Error=110.329
Generation=97, Training Error=-40.549, Testing Error=110.532
Generation=98, Training Error=-39.154, Testing Error=110.727
Generation=99, Training Error=-37.808, Testing Error=110.916
Generation=100, Training Error=-36.507, Testing Error=111.099
Generation=101, Training Error=-35.252, Testing Error=111.275
Generation=102, Training Error=-34.039, Testing Error=111.445
Generation=103, Training Error=-32.868, Testing Error=111.609
Generation=104, Training Error=-31.738, Testing Error=111.768
Generation=105, Training Error=-30.646, Testing Error=111.921
Generation=106, Training Error=-29.592, Testing Error=112.069
Generation=107, Training Error=-28.574, Testing Error=112.212
Generation=108, Training Error=-27.592, Testing Error=112.350
Generation=109, Training Error=-26.643, Testing Error=112.483
Generation=110, Training Error=-25.726, Testing Error=112.611
Generation=111, Training Error=-24.841, Testing Error=112.735
Generation=112, Training Error=-23.987, Testing Error=112.855
Generation=113, Training Error=-23.162, Testing Error=112.971
Generation=114, Training Error=-22.365, Testing Error=113.083
Generation=115, Training Error=-21.596, Testing Error=113.191
Generation=116, Training Error=-20.853, Testing Error=113.295
Generation=117, Training Error=-20.136, Testing Error=113.395
Generation=118, Training Error=-19.444, Testing Error=113.493
Generation=119, Training Error=-18.775, Testing Error=113.586
Generation=120, Training Error=-18.129, Testing Error=113.677
Generation=121, Training Error=-17.506, Testing Error=113.764
Generation=122, Training Error=-16.904, Testing Error=113.849
Generation=123, Training Error=-16.322, Testing Error=113.930
Generation=124, Training Error=-15.761, Testing Error=114.009
Generation=125, Training Error=-15.219, Testing Error=114.085
Generation=126, Training Error=-14.695, Testing Error=114.158
Generation=127, Training Error=-14.190, Testing Error=114.229
Generation=128, Training Error=-13.702, Testing Error=114.298
Generation=129, Training Error=-13.231, Testing Error=114.364
Generation=130, Training Error=-12.776, Testing Error=114.428
Generation=131, Training Error=-12.336, Testing Error=114.489
Generation=132, Training Error=-11.912, Testing Error=114.549
Generation=133, Training Error=-11.502, Testing Error=114.606
Generation=134, Training Error=-11.107, Testing Error=114.662
Generation=135, Training Error=-10.725, Testing Error=114.715
Generation=136, Training Error=-10.356, Testing Error=114.767
Generation=137, Training Error=-10.000, Testing Error=114.817
Generation=138, Training Error=-9.656, Testing Error=114.865
Generation=139, Training Error=-9.324, Testing Error=114.912
Generation=140, Training Error=-9.003, Testing Error=114.957
Generation=141, Training Error=-8.694, Testing Error=115.000
Generation=142, Training Error=-8.395, Testing Error=115.042
Generation=143, Training Error=-8.106, Testing Error=115.082
Generation=144, Training Error=-7.827, Testing Error=115.121
Generation=145, Training Error=-7.558, Testing Error=115.159
Generation=146, Training Error=-7.298, Testing Error=115.196
Generation=147, Training Error=-7.047, Testing Error=115.231
Generation=148, Training Error=-6.805, Testing Error=115.265
Generation=149, Training Error=-6.571, Testing Error=115.298
Generation=150, Training Error=-6.345, Testing Error=115.329
Generation=151, Training Error=-6.127, Testing Error=115.360
Generation=152, Training Error=-5.916, Testing Error=115.389
Generation=153, Training Error=-5.713, Testing Error=115.418
Generation=154, Training Error=-5.517, Testing Error=115.445
Generation=155, Training Error=-5.327, Testing Error=115.472
Generation=156, Training Error=-5.144, Testing Error=115.498
Generation=157, Training Error=-4.967, Testing Error=115.522
Generation=158, Training Error=-4.796, Testing Error=115.546
Generation=159, Training Error=-4.631, Testing Error=115.569
Generation=160, Training Error=-4.472, Testing Error=115.592
Generation=161, Training Error=-4.318, Testing Error=115.613
Generation=162, Training Error=-4.170, Testing Error=115.634
Generation=163, Training Error=-4.027, Testing Error=115.654
Generation=164, Training Error=-3.888, Testing Error=115.673
Generation=165, Training Error=-3.755, Testing Error=115.692
Generation=166, Training Error=-3.626, Testing Error=115.710
Generation=167, Training Error=-3.501, Testing Error=115.728
Generation=168, Training Error=-3.381, Testing Error=115.745
Generation=169, Training Error=-3.264, Testing Error=115.761
Generation=170, Training Error=-3.152, Testing Error=115.777
Generation=171, Training Error=-3.044, Testing Error=115.792
Generation=172, Training Error=-2.939, Testing Error=115.806
Generation=173, Training Error=-2.838, Testing Error=115.820
Generation=174, Training Error=-2.741, Testing Error=115.834
Generation=175, Training Error=-2.647, Testing Error=115.847
Generation=176, Training Error=-2.556, Testing Error=115.860
Generation=177, Training Error=-2.468, Testing Error=115.872
Generation=178, Training Error=-2.383, Testing Error=115.884
Generation=179, Training Error=-2.301, Testing Error=115.896
Generation=180, Training Error=-2.222, Testing Error=115.907
Generation=181, Training Error=-2.146, Testing Error=115.917
Generation=182, Training Error=-2.072, Testing Error=115.928
Generation=183, Training Error=-2.001, Testing Error=115.938
Generation=184, Training Error=-1.932, Testing Error=115.947
Generation=185, Training Error=-1.866, Testing Error=115.956
Generation=186, Training Error=-1.802, Testing Error=115.965
Generation=187, Training Error=-1.740, Testing Error=115.974
Generation=188, Training Error=-1.680, Testing Error=115.982
Generation=189, Training Error=-1.623, Testing Error=115.990
Generation=190, Training Error=-1.567, Testing Error=115.998
Generation=191, Training Error=-1.513, Testing Error=116.006
Generation=192, Training Error=-1.461, Testing Error=116.013
Generation=193, Training Error=-1.411, Testing Error=116.020
Generation=194, Training Error=-1.363, Testing Error=116.027
Generation=195, Training Error=-1.316, Testing Error=116.033
Generation=196, Training Error=-1.271, Testing Error=116.040
Generation=197, Training Error=-1.227, Testing Error=116.046
Generation=198, Training Error=-1.185, Testing Error=116.052
Generation=199, Training Error=-1.144, Testing Error=116.057
Generation=200, Training Error=-1.105, Testing Error=116.063
Generation=201, Training Error=-1.067, Testing Error=116.068
Generation=202, Training Error=-1.031, Testing Error=116.073
Generation=203, Training Error=-0.995, Testing Error=116.078
Generation=204, Training Error=-0.961, Testing Error=116.083
Generation=205, Training Error=-0.928, Testing Error=116.087
Generation=206, Training Error=-0.897, Testing Error=116.092
Generation=207, Training Error=-0.866, Testing Error=116.096
Generation=208, Training Error=-0.836, Testing Error=116.100
Generation=209, Training Error=-0.808, Testing Error=116.104
Generation=210, Training Error=-0.780, Testing Error=116.108
Generation=211, Training Error=-0.753, Testing Error=116.112
Generation=212, Training Error=-0.727, Testing Error=116.115
Generation=213, Training Error=-0.702, Testing Error=116.119
Generation=214, Training Error=-0.678, Testing Error=116.122
Generation=215, Training Error=-0.655, Testing Error=116.125
Generation=216, Training Error=-0.633, Testing Error=116.129
Generation=217, Training Error=-0.611, Testing Error=116.132
Generation=218, Training Error=-0.590, Testing Error=116.134
Generation=219, Training Error=-0.570, Testing Error=116.137
Generation=220, Training Error=-0.551, Testing Error=116.140
Generation=221, Training Error=-0.532, Testing Error=116.143
Generation=222, Training Error=-0.514, Testing Error=116.145
Generation=223, Training Error=-0.496, Testing Error=116.148
Generation=224, Training Error=-0.479, Testing Error=116.150
Generation=225, Training Error=-0.463, Testing Error=116.152
Generation=226, Training Error=-0.447, Testing Error=116.154
Generation=227, Training Error=-0.432, Testing Error=116.156
Generation=228, Training Error=-0.417, Testing Error=116.158
Generation=229, Training Error=-0.403, Testing Error=116.160
Generation=230, Training Error=-0.389, Testing Error=116.162
Generation=231, Training Error=-0.376, Testing Error=116.164
Generation=232, Training Error=-0.363, Testing Error=116.166
Generation=233, Training Error=-0.351, Testing Error=116.168
Generation=234, Training Error=-0.339, Testing Error=116.169
Generation=235, Training Error=-0.327, Testing Error=116.171
Generation=236, Training Error=-0.316, Testing Error=116.172
Generation=237, Training Error=-0.305, Testing Error=116.174
Generation=238, Training Error=-0.295, Testing Error=116.175
Generation=239, Training Error=-0.285, Testing Error=116.177
Generation=240, Training Error=-0.275, Testing Error=116.178
Generation=241, Training Error=-0.266, Testing Error=116.179
Generation=242, Training Error=-0.257, Testing Error=116.181
Generation=243, Training Error=-0.248, Testing Error=116.182
Generation=244, Training Error=-0.240, Testing Error=116.183
Generation=245, Training Error=-0.232, Testing Error=116.184
Generation=246, Training Error=-0.224, Testing Error=116.185
Generation=247, Training Error=-0.216, Testing Error=116.186
Generation=248, Training Error=-0.209, Testing Error=116.187
Generation=249, Training Error=-0.202, Testing Error=116.188
Generation=250, Training Error=-0.195, Testing Error=116.189
Generation=251, Training Error=-0.189, Testing Error=116.190
Generation=252, Training Error=-0.182, Testing Error=116.191
Generation=253, Training Error=-0.176, Testing Error=116.192
Generation=254, Training Error=-0.170, Testing Error=116.192
Generation=255, Training Error=-0.165, Testing Error=116.193
Generation=256, Training Error=-0.159, Testing Error=116.194
Generation=257, Training Error=-0.154, Testing Error=116.195
Generation=258, Training Error=-0.149, Testing Error=116.195
Generation=259, Training Error=-0.144, Testing Error=116.196
Generation=260, Training Error=-0.139, Testing Error=116.197
Generation=261, Training Error=-0.134, Testing Error=116.197
Generation=262, Training Error=-0.130, Testing Error=116.198
Generation=263, Training Error=-0.125, Testing Error=116.199
Generation=264, Training Error=-0.121, Testing Error=116.199
Generation=265, Training Error=-0.117, Testing Error=116.200
Generation=266, Training Error=-0.113, Testing Error=116.200
Generation=267, Training Error=-0.109, Testing Error=116.201
Generation=268, Training Error=-0.106, Testing Error=116.201
Generation=269, Training Error=-0.102, Testing Error=116.202
Generation=270, Training Error=-0.099, Testing Error=116.202
Generation=271, Training Error=-0.096, Testing Error=116.203
Generation=272, Training Error=-0.093, Testing Error=116.203
Generation=273, Training Error=-0.090, Testing Error=116.203
Generation=274, Training Error=-0.087, Testing Error=116.204
Generation=275, Training Error=-0.084, Testing Error=116.204
Generation=276, Training Error=-0.081, Testing Error=116.204
Generation=277, Training Error=-0.078, Testing Error=116.205
Generation=278, Training Error=-0.076, Testing Error=116.205
Generation=279, Training Error=-0.073, Testing Error=116.205
Generation=280, Training Error=-0.071, Testing Error=116.206
Generation=281, Training Error=-0.069, Testing Error=116.206
Generation=282, Training Error=-0.066, Testing Error=116.206
Generation=283, Training Error=-0.064, Testing Error=116.207
Generation=284, Training Error=-0.062, Testing Error=116.207
Generation=285, Training Error=-0.060, Testing Error=116.207
Generation=286, Training Error=-0.058, Testing Error=116.207
Generation=287, Training Error=-0.056, Testing Error=116.208
Generation=288, Training Error=-0.055, Testing Error=116.208
Generation=289, Training Error=-0.053, Testing Error=116.208
Generation=290, Training Error=-0.051, Testing Error=116.208
Generation=291, Training Error=-0.050, Testing Error=116.209
Generation=292, Training Error=-0.048, Testing Error=116.209
Generation=293, Training Error=-0.047, Testing Error=116.209
Generation=294, Training Error=-0.045, Testing Error=116.209
Generation=295, Training Error=-0.044, Testing Error=116.209
Generation=296, Training Error=-0.042, Testing Error=116.209
Generation=297, Training Error=-0.041, Testing Error=116.210
Generation=298, Training Error=-0.040, Testing Error=116.210
Generation=299, Training Error=-0.039, Testing Error=116.210
Generation=300, Training Error=-0.037, Testing Error=116.210
Generation=301, Training Error=-0.036, Testing Error=116.210
Generation=302, Training Error=-0.035, Testing Error=116.210
Generation=303, Training Error=-0.034, Testing Error=116.211
Generation=304, Training Error=-0.033, Testing Error=116.211
Generation=305, Training Error=-0.032, Testing Error=116.211
Generation=306, Training Error=-0.031, Testing Error=116.211
Generation=307, Training Error=-0.030, Testing Error=116.211
Generation=308, Training Error=-0.029, Testing Error=116.211
Generation=309, Training Error=-0.028, Testing Error=116.211
Generation=310, Training Error=-0.028, Testing Error=116.211
