/Library/Frameworks/Python.framework/Versions/3.5/bin/python3.5 /Users/newfrontier2/Desktop/School/CSCI447/Project3/project_3/__init__.py
Generation=0, Training Error=114955.532, Testing Error=13624.530
Generation=1, Training Error=111423.966, Testing Error=13134.266
Generation=2, Training Error=108000.878, Testing Error=12659.062
Generation=3, Training Error=104682.949, Testing Error=12198.458
Generation=4, Training Error=101466.951, Testing Error=11752.003
Generation=5, Training Error=98349.752, Testing Error=11319.265
Generation=6, Training Error=95328.317, Testing Error=10899.820
Generation=7, Training Error=92399.705, Testing Error=10493.261
Generation=8, Training Error=89561.064, Testing Error=10099.193
Generation=9, Training Error=86809.629, Testing Error=9717.230
Generation=10, Training Error=84142.722, Testing Error=9347.002
Generation=11, Training Error=81557.746, Testing Error=8988.148
Generation=12, Training Error=79052.184, Testing Error=8640.319
Generation=13, Training Error=76623.596, Testing Error=8303.175
Generation=14, Training Error=74269.617, Testing Error=7976.389
Generation=15, Training Error=71987.956, Testing Error=7659.642
Generation=16, Training Error=69776.391, Testing Error=7352.626
Generation=17, Training Error=67632.767, Testing Error=7055.042
Generation=18, Training Error=65554.999, Testing Error=6766.600
Generation=19, Training Error=63541.062, Testing Error=6487.019
Generation=20, Training Error=61588.997, Testing Error=6216.027
Generation=21, Training Error=59696.901, Testing Error=5953.361
Generation=22, Training Error=57862.933, Testing Error=5698.764
Generation=23, Training Error=56085.307, Testing Error=5451.989
Generation=24, Training Error=54362.292, Testing Error=5212.795
Generation=25, Training Error=52692.210, Testing Error=4980.949
Generation=26, Training Error=51073.436, Testing Error=4756.226
Generation=27, Training Error=49504.392, Testing Error=4538.406
Generation=28, Training Error=47983.551, Testing Error=4327.279
Generation=29, Training Error=46509.433, Testing Error=4122.637
Generation=30, Training Error=45080.601, Testing Error=3924.283
Generation=31, Training Error=43695.666, Testing Error=3732.022
Generation=32, Training Error=42353.277, Testing Error=3545.667
Generation=33, Training Error=41052.128, Testing Error=3365.038
Generation=34, Training Error=39790.952, Testing Error=3189.958
Generation=35, Training Error=38568.521, Testing Error=3020.256
Generation=36, Training Error=37383.645, Testing Error=2855.768
Generation=37, Training Error=36235.170, Testing Error=2696.334
Generation=38, Training Error=35121.977, Testing Error=2541.797
Generation=39, Training Error=34042.984, Testing Error=2392.008
Generation=40, Training Error=32997.138, Testing Error=2246.820
Generation=41, Training Error=31983.422, Testing Error=2106.093
Generation=42, Training Error=31000.849, Testing Error=1969.690
Generation=43, Training Error=30048.462, Testing Error=1837.476
Generation=44, Training Error=29125.333, Testing Error=1709.325
Generation=45, Training Error=28230.565, Testing Error=1585.110
Generation=46, Training Error=27363.284, Testing Error=1464.712
Generation=47, Training Error=26522.648, Testing Error=1348.012
Generation=48, Training Error=25707.837, Testing Error=1234.898
Generation=49, Training Error=24918.058, Testing Error=1125.258
Generation=50, Training Error=24152.542, Testing Error=1018.987
Generation=51, Training Error=23410.544, Testing Error=915.981
Generation=52, Training Error=22691.341, Testing Error=816.139
Generation=53, Training Error=21994.233, Testing Error=719.364
Generation=54, Training Error=21318.541, Testing Error=625.563
Generation=55, Training Error=20663.608, Testing Error=534.643
Generation=56, Training Error=20028.794, Testing Error=446.516
Generation=57, Training Error=19413.483, Testing Error=361.097
Generation=58, Training Error=18817.075, Testing Error=278.302
Generation=59, Training Error=18238.990, Testing Error=198.050
Generation=60, Training Error=17678.664, Testing Error=120.264
Generation=61, Training Error=17135.552, Testing Error=44.868
Generation=62, Training Error=16609.125, Testing Error=28.213
Generation=63, Training Error=16098.871, Testing Error=99.048
Generation=64, Training Error=15604.293, Testing Error=167.706
Generation=65, Training Error=15124.908, Testing Error=234.256
Generation=66, Training Error=14660.251, Testing Error=298.761
Generation=67, Training Error=14209.869, Testing Error=361.285
Generation=68, Training Error=13773.323, Testing Error=421.887
Generation=69, Training Error=13350.189, Testing Error=480.628
Generation=70, Training Error=12940.053, Testing Error=537.564
Generation=71, Training Error=12542.518, Testing Error=592.751
Generation=72, Training Error=12157.196, Testing Error=646.243
Generation=73, Training Error=11783.711, Testing Error=698.091
Generation=74, Training Error=11421.700, Testing Error=748.347
Generation=75, Training Error=11070.811, Testing Error=797.058
Generation=76, Training Error=10730.701, Testing Error=844.273
Generation=77, Training Error=10401.040, Testing Error=890.038
Generation=78, Training Error=10081.507, Testing Error=934.396
Generation=79, Training Error=9771.790, Testing Error=977.392
Generation=80, Training Error=9471.589, Testing Error=1019.067
Generation=81, Training Error=9180.610, Testing Error=1059.462
Generation=82, Training Error=8898.570, Testing Error=1098.615
Generation=83, Training Error=8625.195, Testing Error=1136.566
Generation=84, Training Error=8360.219, Testing Error=1173.351
Generation=85, Training Error=8103.383, Testing Error=1209.006
Generation=86, Training Error=7854.438, Testing Error=1243.565
Generation=87, Training Error=7613.142, Testing Error=1277.063
Generation=88, Training Error=7379.258, Testing Error=1309.531
Generation=89, Training Error=7152.561, Testing Error=1341.002
Generation=90, Training Error=6932.829, Testing Error=1371.506
Generation=91, Training Error=6719.850, Testing Error=1401.073
Generation=92, Training Error=6513.417, Testing Error=1429.731
Generation=93, Training Error=6313.334, Testing Error=1457.507
Generation=94, Training Error=6119.426, Testing Error=1484.420
Generation=95, Training Error=6995.949, Testing Error=731.947
Generation=96, Training Error=11210.344, Testing Error=778.806
Generation=97, Training Error=10882.921, Testing Error=824.296
Generation=98, Training Error=10565.064, Testing Error=868.456
Generation=99, Training Error=10256.499, Testing Error=911.326
Generation=100, Training Error=9956.967, Testing Error=952.937
Generation=101, Training Error=9704.683, Testing Error=206.186
Generation=102, Training Error=9453.062, Testing Error=1032.848
Generation=103, Training Error=9107.780, Testing Error=1070.919
Generation=104, Training Error=8841.762, Testing Error=1107.877
Generation=105, Training Error=8583.514, Testing Error=1143.757
Generation=106, Training Error=8332.810, Testing Error=1178.588
Generation=107, Training Error=8089.427, Testing Error=1212.401
Generation=108, Training Error=7853.154, Testing Error=1245.228
Generation=109, Training Error=7623.782, Testing Error=1277.095
Generation=110, Training Error=7401.109, Testing Error=1308.031
Generation=111, Training Error=7184.940, Testing Error=1338.064
Generation=112, Training Error=6975.086, Testing Error=1367.220
Generation=113, Training Error=6771.361, Testing Error=1395.524
Generation=114, Training Error=6573.587, Testing Error=1423.002
Generation=115, Training Error=6381.591, Testing Error=1449.676
Generation=116, Training Error=6195.205, Testing Error=1475.572
Generation=117, Training Error=6014.266, Testing Error=1500.710
Generation=118, Training Error=5838.621, Testing Error=1525.113
Generation=119, Training Error=5668.141, Testing Error=1548.790
Generation=120, Training Error=6700.306, Testing Error=747.976
Generation=121, Training Error=11123.293, Testing Error=792.024
Generation=122, Training Error=10815.268, Testing Error=834.853
Generation=123, Training Error=10515.773, Testing Error=876.495
Generation=124, Training Error=10224.572, Testing Error=916.984
Generation=125, Training Error=9941.434, Testing Error=956.352
Generation=126, Training Error=9666.137, Testing Error=994.630
Generation=127, Training Error=9398.463, Testing Error=1031.848
Generation=128, Training Error=9138.202, Testing Error=1068.036
Generation=129, Training Error=8885.148, Testing Error=1103.221
Generation=130, Training Error=8639.102, Testing Error=1137.432
Generation=131, Training Error=8399.869, Testing Error=1170.695
Generation=132, Training Error=8167.261, Testing Error=1203.037
Generation=133, Training Error=7941.094, Testing Error=1234.484
Generation=134, Training Error=7721.190, Testing Error=1265.060
Generation=135, Training Error=7507.376, Testing Error=1294.789
